Locations
"Christ Church Cathedral | Oxford, England"
Fox Plaza | Los Angeles
"Görlitz Department Store | Görlitz, Germany"
"Ballinesker and Curracloe Beaches | Wexford, Ireland"
Katz's Delicatessen | New York
"Toms River, New Jersey, and Salem, Wisconsin"
New Zealand
"Island of Ischia | Naples, Italy"
"Cherry Tree Inn | Woodstock, Illinois"
"The Hitching Post II Restaurant | Buellton, California"
"Glenfinnan Viaduct | Inverness-shire, Scotland"
"Pagsanjan | Laguna, Philippines"
"Skellig Michael | County Kerry, Ireland"
Wadi Rum | Jordan
Devils Tower | Wyoming
Dallas City Hall | Dallas
"Seaside, Florida"
Al Khazneh | Jordan
"The Bench at Chippewa Square | Savannah, Georgia"
"Timberline Lodge | Mount Hood, Oregon"
"United Methodist Church | La Verne, California"
Hook & Ladder Company 8 Firehouse | New York
"Varda Viaduct | Varda, Turkey"
"Hatley Castle | British Columbia, Canada"
"Baseball Diamond | Dubuque County, Iowa"
"The McCallisters' House | Winnetka, Illinois"
"Kauai, Hawaii"
L Street Tavern | Boston
The Parkers' House | Cleveland
"Mayan Temple Ruins | Tikal National Park, Guatemala"
"The Robinsons' House | Beverly Hills, California"
Tiffany's | New York
Coney Island | New York
"Marin County Civic Center | San Rafael, California"
Marriott Marquis | Atlanta
"Martha's Vineyard, Massachusetts"
Doune Castle | Scotland
Contra Dam | Switzerland
"Grand Bazaar | Istanbul, Turkey"
Hotel Sidi Driss | Tunisia
"Tabernas Desert | Andalucía, Spain"
Hāmākua Coast | Hawaii
"Mehrangarh Fort | Jodhpur, India"
Skiathos | Greece
The Villages of Savoca and Forza D'agro | Sicily
"Bayon Temple | Angkor Thom, Cambodia"
Caesars Palace | Las Vegas
"Ohio State Reformatory | Mansfield, Ohio"
Philadelphia Museum of Art | Philadelphia
"Bodega Bay, California"
